ndata,n_pattern,l_pattern,distributed_pattern,exec_time,transmit_time,compute_time,gather_time
1000,561,10,pattern distributed,2.03,0.06,1.96,0.01
1000,561,100,pattern distributed,14.65,0.08,14.55,0.01
1000,571,10,pattern distributed,2.07,0.06,2.00,0.01
1000,571,100,pattern distributed,14.60,0.05,14.54,0.01
1000,581,10,pattern distributed,1.99,0.04,1.93,0.01
1000,581,100,pattern distributed,14.01,0.05,13.95,0.01
1000,741,10,pattern distributed,2.02,0.08,1.93,0.01
1000,741,100,pattern distributed,17.27,0.08,17.17,0.01
1000,751,10,pattern distributed,1.75,0.08,1.65,0.01
1000,751,100,pattern distributed,16.81,0.05,16.75,0.01
1000,761,10,pattern distributed,1.88,0.06,1.80,0.02
1000,761,100,pattern distributed,17.78,0.08,17.68,0.02
1000,771,10,pattern distributed,1.77,0.04,1.71,0.01
1000,771,100,pattern distributed,18.74,0.07,18.65,0.02
1000,781,10,pattern distributed,2.06,0.05,1.99,0.02
1000,781,100,pattern distributed,18.69,0.05,18.62,0.01
1000,791,10,pattern distributed,1.82,0.04,1.76,0.01
1000,791,100,pattern distributed,17.14,0.04,17.08,0.01
1000,801,10,pattern distributed,1.65,0.05,1.59,0.02
1000,801,100,pattern distributed,19.60,0.07,19.52,0.01
1000,811,10,pattern distributed,2.02,0.08,1.93,0.02
1000,811,100,pattern distributed,17.66,0.05,17.60,0.01
1000,821,10,pattern distributed,1.85,0.05,1.79,0.02
1000,821,100,pattern distributed,19.99,0.04,19.93,0.02
1000,831,10,pattern distributed,2.01,0.05,1.94,0.02
1000,831,100,pattern distributed,20.45,0.05,20.39,0.02
1000,841,10,pattern distributed,2.02,0.06,1.95,0.02
1000,841,100,pattern distributed,18.52,0.06,18.44,0.02
1000,851,10,pattern distributed,2.01,0.05,1.94,0.02
1000,851,100,pattern distributed,19.23,0.05,19.17,0.02
1000,861,10,pattern distributed,2.04,0.05,1.97,0.02
1000,861,100,pattern distributed,21.31,0.10,21.19,0.02
1000,871,10,pattern distributed,1.88,0.08,1.79,0.02
1000,871,100,pattern distributed,19.56,0.05,19.49,0.02
1000,881,10,pattern distributed,2.04,0.05,1.98,0.02
1000,881,100,pattern distributed,22.10,0.06,22.02,0.02
1000,891,10,pattern distributed,2.07,0.05,2.00,0.02
1000,891,100,pattern distributed,21.99,0.11,21.87,0.02
1000,901,10,pattern distributed,2.09,0.08,1.99,0.02
1000,901,100,pattern distributed,22.40,0.07,22.31,0.02
1000,911,10,pattern distributed,2.09,0.06,2.02,0.02
1000,911,100,pattern distributed,20.86,0.05,20.79,0.02
1000,921,10,pattern distributed,2.11,0.06,2.04,0.02
1000,921,100,pattern distributed,22.04,0.08,21.94,0.02
1000,931,10,pattern distributed,1.95,0.08,1.85,0.02
1000,931,100,pattern distributed,23.18,0.05,23.12,0.02
1000,941,10,pattern distributed,1.81,0.05,1.74,0.02
1000,941,100,pattern distributed,21.24,0.05,21.18,0.02
1000,951,10,pattern distributed,2.13,0.06,2.06,0.02
1000,951,100,pattern distributed,19.33,0.05,19.25,0.02
1000,961,10,pattern distributed,2.15,0.06,2.08,0.02
1000,961,100,pattern distributed,23.58,0.05,23.51,0.02
1000,971,10,pattern distributed,2.08,0.08,1.98,0.02
1000,971,100,pattern distributed,20.29,0.05,20.22,0.02
1000,981,10,pattern distributed,2.17,0.05,2.10,0.02
1000,981,100,pattern distributed,22.52,0.08,22.42,0.02
1000,991,10,pattern distributed,2.01,0.04,1.96,0.02
1000,991,100,pattern distributed,24.85,0.08,24.76,0.02
1500,1,10,pattern distributed,1.89,0.00,1.89,0.00
1500,1,100,pattern distributed,2.02,0.00,2.01,0.00
1500,11,10,pattern distributed,1.89,0.00,1.89,0.00
1500,11,100,pattern distributed,2.20,0.00,2.19,0.00
1500,21,10,pattern distributed,1.91,0.01,1.90,0.00
1500,21,100,pattern distributed,2.84,0.00,2.83,0.00
1500,31,10,pattern distributed,1.95,0.01,1.95,0.00
1500,31,100,pattern distributed,2.82,0.01,2.81,0.00
1500,41,10,pattern distributed,1.92,0.01,1.91,0.00
1500,41,100,pattern distributed,3.88,0.01,3.87,0.00
