distributed,ndata,npatterns,mean_time,std_time
0,1000000,1,0.4332192,0.007417807341795822
0,500000,2,0.43042860000000005,0.033234921444769513
0,250000,4,0.40927860000000005,0.012146302854778487
0,125000,8,0.4180846,0.007314201490251688
0,62500,16,0.4284864,0.004558980877345292
0,31250,32,0.4224118,0.006316163658424324
0,15625,64,0.43207019999999996,0.00787820703967597
0,7812,128,0.45133799999999996,0.006942251738449134
0,3906,256,0.447037,0.009795042439928478
0,1953,512,0.4819936,0.013711289415660365
0,976,1024,0.5778312,0.014580617454689639
0,488,2049,0.7444668,0.012125552381644328
0,244,4098,1.088787,0.008726040499562283
0,122,8196,1.7831505999999997,0.017923218702007748
1,1000000,1,0.42632440000000005,0.008998297252258343
1,500000,2,0.4301024,0.010517242958114063
1,250000,4,0.4308872,0.005668368280201989
1,125000,8,0.4307682,0.014748296707077741
1,62500,16,0.42317219999999994,0.014017586959245175
1,31250,32,0.420552,0.005146682815173281
1,15625,64,0.44708879999999995,0.011693861695778693
1,7812,128,0.44090660000000004,0.03541471223997171
1,3906,256,0.41768419999999995,0.01823986580433091
1,1953,512,0.40576419999999996,0.013727538109945274
1,976,1024,0.4140208,0.00786970473143687
1,488,2049,0.42474039999999996,0.015343182924021995
1,244,4098,0.43179300000000004,0.014692949166181713
1,122,8196,0.41166540000000007,0.05928830321606448
