scenario,thread_per_block,block_per_grid,mean_time,std_time
large files 1 large patterns,4,4,1.1015216,0.024621726979235238
large files 1 large patterns,4,8,0.6690362,0.014143259304700579
large files 1 large patterns,4,16,0.4511692,0.006323861459583068
large files 1 large patterns,4,32,0.34330659999999996,0.012318368051004157
large files 1 large patterns,4,64,0.2825008,0.005812043062469516
large files 1 large patterns,4,128,0.2621546,0.005788682012340982
large files 1 large patterns,4,256,0.2573832,0.00795125686668465
large files 1 large patterns,4,512,0.24511659999999996,0.005084030944044295
large files 1 large patterns,4,1024,0.24736819999999998,0.007922927575082324
large files 1 large patterns,4,2048,0.2443102,0.0059474461208152245
large files 1 large patterns,4,4096,0.24356719999999998,0.005839788468771784
large files 1 large patterns,4,8192,0.29281619999999997,0.010362644477159295
large files 1 large patterns,4,16384,0.2947643999999999,0.005583845936270095
large files 1 large patterns,4,32768,0.28443120000000005,0.027896002834814887
large files 1 large patterns,4,65536,0.2420654,0.0048153571664000085
large files 1 large patterns,8,4,0.658491,0.008938581386327455
large files 1 large patterns,8,8,0.43923760000000006,0.0071965382122239985
large files 1 large patterns,8,16,0.3512536,0.009535036289390831
large files 1 large patterns,8,32,0.2927702,0.0050843181411080185
large files 1 large patterns,8,64,0.26082679999999997,0.015659529129574745
large files 1 large patterns,8,128,0.25795,0.004944128113226849
large files 1 large patterns,8,256,0.2425194,0.007628946810667893
large files 1 large patterns,8,512,0.239052,0.007759909097405719
large files 1 large patterns,8,1024,0.24006540000000004,0.004147804942376151
large files 1 large patterns,8,2048,0.23954979999999998,0.00605804758647537
large files 1 large patterns,8,4096,0.23613499999999998,0.003482509382614782
large files 1 large patterns,8,8192,0.23473660000000002,0.006046874849043921
large files 1 large patterns,8,16384,0.23915000000000003,0.00989049456801833
large files 1 large patterns,8,32768,0.24654159999999997,0.0075161153423826494
large files 1 large patterns,8,65536,0.2374548,0.005915563858162643
large files 1 large patterns,16,4,0.45944820000000003,0.011029886153537586
large files 1 large patterns,16,8,0.34697100000000003,0.011819450122573384
large files 1 large patterns,16,16,0.2928978,0.007081796195881373
large files 1 large patterns,16,32,0.25903160000000003,0.006019944737287883
large files 1 large patterns,16,64,0.2469996,0.0071268433573356904
large files 1 large patterns,16,128,0.2585536,0.03288594124302967
large files 1 large patterns,16,256,0.2396162,0.0033727243231548073
large files 1 large patterns,16,512,0.23527740000000003,0.007110746334949665
large files 1 large patterns,16,1024,0.2434278,0.00792045532529539
large files 1 large patterns,16,2048,0.23597039999999997,0.008348551074288281
large files 1 large patterns,16,4096,0.2400382,0.011358629255328304
large files 1 large patterns,16,8192,0.23809840000000002,0.006769360489736093
large files 1 large patterns,16,16384,0.238518,0.010464625019559949
large files 1 large patterns,16,32768,0.2359578,0.008286742916248811
large files 1 large patterns,16,65536,0.2373302,0.003302520576771628
large files 1 large patterns,32,4,0.3525836,0.0123962184330545
large files 1 large patterns,32,8,0.3002312,0.005208998882702909
large files 1 large patterns,32,16,0.26222639999999997,0.005101601183942145
large files 1 large patterns,32,32,0.2535244,0.009195667123161862
