scenario,thread_per_block,block_per_grid,mean_time,std_time
large files 100 small patterns,32,512,0.48,0.01
large files 100 small patterns,32,1024,0.47,0.01
large files 100 small patterns,32,2048,0.45,0.03
large files 100 small patterns,32,4096,0.42,0.01
large files 100 small patterns,32,8192,0.42,0.01
large files 100 small patterns,32,16384,0.42,0.01
large files 100 small patterns,32,32768,0.43,0.01
large files 100 small patterns,32,65536,0.43,0.00
large files 100 small patterns,64,16,0.44,0.01
large files 100 small patterns,64,32,0.43,0.02
large files 100 small patterns,64,64,0.42,0.01
large files 100 small patterns,64,128,0.42,0.01
large files 100 small patterns,64,256,0.43,0.02
large files 100 small patterns,64,512,0.42,0.01
large files 100 small patterns,64,1024,0.42,0.01
large files 100 small patterns,64,2048,0.42,0.02
large files 100 small patterns,64,4096,0.42,0.01
large files 100 small patterns,64,8192,0.43,0.01
large files 100 small patterns,64,16384,0.43,0.01
large files 100 small patterns,64,32768,0.42,0.01
large files 100 small patterns,64,65536,0.42,0.01
large files 100 small patterns,128,16,0.43,0.01
large files 100 small patterns,128,32,0.43,0.01
large files 100 small patterns,128,64,0.41,0.02
large files 100 small patterns,128,128,0.41,0.01
large files 100 small patterns,128,256,0.42,0.02
large files 100 small patterns,128,512,0.42,0.01
large files 100 small patterns,128,1024,0.42,0.02
large files 100 small patterns,128,2048,0.43,0.01
large files 100 small patterns,128,4096,0.42,0.01
large files 100 small patterns,128,8192,0.42,0.01
large files 100 small patterns,128,16384,0.42,0.01
large files 100 small patterns,128,32768,0.42,0.01
large files 100 small patterns,128,65536,0.42,0.01
large files 100 small patterns,256,16,0.44,0.03
large files 100 small patterns,256,32,0.42,0.01
large files 100 small patterns,256,64,0.43,0.01
large files 100 small patterns,256,128,0.42,0.01
large files 100 small patterns,256,256,0.43,0.01
large files 100 small patterns,256,512,0.43,0.01
large files 100 small patterns,256,1024,0.43,0.01
large files 100 small patterns,256,2048,0.43,0.01
large files 100 small patterns,256,4096,0.43,0.00
large files 100 small patterns,256,8192,0.43,0.00
large files 100 small patterns,256,16384,0.43,0.02
large files 100 small patterns,256,32768,0.42,0.01
large files 100 small patterns,256,65536,0.43,0.01
large files 100 small patterns,512,16,0.43,0.01
large files 100 small patterns,512,32,0.42,0.01
large files 100 small patterns,512,64,0.42,0.01
large files 100 small patterns,512,128,0.43,0.01
large files 100 small patterns,512,256,0.42,0.02
large files 100 small patterns,512,512,0.43,0.01
large files 100 small patterns,512,1024,0.43,0.00
large files 100 small patterns,512,2048,0.43,0.00
large files 100 small patterns,512,4096,0.43,0.01
large files 100 small patterns,512,8192,0.42,0.01
large files 100 small patterns,512,16384,0.41,0.01
large files 100 small patterns,512,32768,0.42,0.01
large files 100 small patterns,512,65536,0.41,0.01
large files 100 small patterns,1024,16,0.43,0.01
large files 100 small patterns,1024,32,0.42,0.01
large files 100 small patterns,1024,64,0.43,0.01
large files 100 small patterns,1024,128,0.42,0.01
large files 100 small patterns,1024,256,0.42,0.01
large files 100 small patterns,1024,512,0.43,0.01
large files 100 small patterns,1024,1024,0.42,0.01
large files 100 small patterns,1024,2048,0.42,0.02
large files 100 small patterns,1024,4096,0.49,0.05
large files 100 small patterns,1024,8192,0.47,0.02
large files 100 small patterns,1024,16384,0.47,0.01
large files 100 small patterns,1024,32768,0.48,0.03
large files 100 small patterns,1024,65536,0.42,0.01
large files 100 small patterns,2048,16,0.45,0.05
large files 100 small patterns,2048,32,0.42,0.01
large files 100 small patterns,2048,64,0.42,0.01
large files 100 small patterns,2048,128,0.44,0.01
large files 100 small patterns,2048,256,0.42,0.01
large files 100 small patterns,2048,512,0.43,0.01
large files 100 small patterns,2048,1024,0.42,0.01
large files 100 small patterns,2048,2048,0.42,0.01
large files 100 small patterns,2048,4096,0.44,0.01
large files 100 small patterns,2048,8192,0.43,0.01
large files 100 small patterns,2048,16384,0.42,0.01
large files 100 small patterns,2048,32768,0.43,0.01
large files 100 small patterns,2048,65536,0.43,0.01
small files 10 large patterns,16,16,0.43,0.00
small files 10 large patterns,16,32,0.43,0.01
small files 10 large patterns,16,64,0.41,0.01
small files 10 large patterns,16,128,0.43,0.04
small files 10 large patterns,16,256,0.41,0.02
small files 10 large patterns,16,512,0.42,0.01
small files 10 large patterns,16,1024,0.41,0.00
small files 10 large patterns,16,2048,0.42,0.01
small files 10 large patterns,16,4096,0.45,0.05
small files 10 large patterns,16,8192,0.43,0.02
small files 10 large patterns,16,16384,0.45,0.04
small files 10 large patterns,16,32768,0.43,0.00
small files 10 large patterns,16,65536,0.44,0.01
small files 10 large patterns,32,16,0.45,0.00
small files 10 large patterns,32,32,0.41,0.01
small files 10 large patterns,32,64,0.41,0.01
small files 10 large patterns,32,128,0.41,0.00
small files 10 large patterns,32,256,0.41,0.01
small files 10 large patterns,32,512,0.41,0.02
small files 10 large patterns,32,1024,0.41,0.01
small files 10 large patterns,32,2048,0.42,0.01
small files 10 large patterns,32,4096,0.42,0.01
small files 10 large patterns,32,8192,0.42,0.01
small files 10 large patterns,32,16384,0.42,0.02
small files 10 large patterns,32,32768,0.46,0.03
small files 10 large patterns,32,65536,0.48,0.01
small files 10 large patterns,64,16,0.48,0.01
small files 10 large patterns,64,32,0.45,0.03
small files 10 large patterns,64,64,0.41,0.02
small files 10 large patterns,64,128,0.41,0.01
small files 10 large patterns,64,256,0.42,0.01
small files 10 large patterns,64,512,0.41,0.01
small files 10 large patterns,64,1024,0.41,0.01
small files 10 large patterns,64,2048,0.42,0.01
small files 10 large patterns,64,4096,0.42,0.02
small files 10 large patterns,64,8192,0.41,0.01
small files 10 large patterns,64,16384,0.45,0.04
small files 10 large patterns,64,32768,0.42,0.01
small files 10 large patterns,64,65536,0.42,0.01
small files 10 large patterns,128,16,0.42,0.01
small files 10 large patterns,128,32,0.41,0.01
small files 10 large patterns,128,64,0.44,0.04
small files 10 large patterns,128,128,0.43,0.03
small files 10 large patterns,128,256,0.41,0.03
small files 10 large patterns,128,512,0.41,0.01
small files 10 large patterns,128,1024,0.41,0.01
small files 10 large patterns,128,2048,0.41,0.01
small files 10 large patterns,128,4096,0.42,0.02
small files 10 large patterns,128,8192,0.42,0.01
small files 10 large patterns,128,16384,0.43,0.03
small files 10 large patterns,128,32768,0.43,0.03
small files 10 large patterns,128,65536,0.42,0.02
small files 10 large patterns,256,16,0.49,0.04
small files 10 large patterns,256,32,0.50,0.01
small files 10 large patterns,256,64,0.50,0.00
small files 10 large patterns,256,128,0.46,0.04
small files 10 large patterns,256,256,0.42,0.03
small files 10 large patterns,256,512,0.42,0.01
small files 10 large patterns,256,1024,0.42,0.02
small files 10 large patterns,256,2048,0.41,0.02
small files 10 large patterns,256,4096,0.43,0.01
small files 10 large patterns,256,8192,0.41,0.01
small files 10 large patterns,256,16384,0.42,0.03
small files 10 large patterns,256,32768,0.41,0.01
small files 10 large patterns,256,65536,0.42,0.01
